CutOff,Modulus,VTR,Bio,xval,Line
0,5 MPa,1.185885,0.682320853,500,1500
0,5 MPa,1.29638096,0.883173828,600,1800
0,5 MPa,1.60303169,0.828771789,700,2100
0,5 MPa,0.9189483,0.274395838,800,2400
0,5 MPa,1.128311464,1.023727182,900,2700
0,5 MPa,1.57401912,1.193887301,1000,3000
0,5 MPa,0.956762801,0.734803487,1100,3300
0,5 MPa,1.512930824,0.995180818,1200,3600
0,5 MPa,1.6856521,1.168709372,1300,3900
0,5 MPa,1.17137177,0.503091704,1400,4200
0,5 MPa,1.85825263,1.428070269,1500,4500
100,5 MPa,1.236243018,0.980717275,0,5
100,5 MPa,1.3068274,0.835864567,100,5
100,5 MPa,0.937260894,0.718740963,100,300
100,5 MPa,1.193045516,0.518337193,200,600
100,5 MPa,1.23597007,0.897925849,300,900
100,5 MPa,1.051554735,0.858924988,400,1200
100,5 MPa,1.18451187,0.682320853,500,1500
100,5 MPa,1.29562958,0.883173828,600,1800
100,5 MPa,1.5987803,0.828771789,700,2100
100,5 MPa,0.882107,0.274395838,800,2400
100,5 MPa,1.127962888,1.023727182,900,2700
100,5 MPa,1.57095228,1.193887301,1000,3000
100,5 MPa,0.95592079,0.734803487,1100,3300
100,5 MPa,1.507353852,0.995180818,1200,3600
100,5 MPa,1.679098,1.168709372,1300,3900
100,5 MPa,1.149513455,0.503091704,1400,4200
100,5 MPa,1.85665193,1.428070269,1500,4500
200,5 MPa,1.232324334,0.980717275,0,5
200,5 MPa,1.29724988,0.835864567,100,5
200,5 MPa,0.930971052,0.718740963,200,5
200,5 MPa,1.15962442,0.518337193,200,600
200,5 MPa,1.23258683,0.897925849,300,900
200,5 MPa,1.046574627,0.858924988,400,1200
200,5 MPa,1.176685029,0.682320853,500,1500
200,5 MPa,1.29224837,0.883173828,600,1800
200,5 MPa,1.58538198,0.828771789,700,2100
200,5 MPa,0.833572725,0.274395838,800,2400
200,5 MPa,1.126278104,1.023727182,900,2700
200,5 MPa,1.56102156,1.193887301,1000,3000
200,5 MPa,0.949518329,0.734803487,1100,3300
200,5 MPa,1.484506754,0.995180818,1200,3600
200,5 MPa,1.6663019,1.168709372,1300,3900
200,5 MPa,1.100012195,0.503091704,1400,4200
200,5 MPa,1.84976892,1.428070269,1500,4500
300,5 MPa,1.224003492,0.980717275,0,5
300,5 MPa,1.27834688,0.835864567,100,5
300,5 MPa,0.923093242,0.718740963,200,5
300,5 MPa,1.112030924,0.518337193,300,5
300,5 MPa,1.22582035,0.897925849,300,900
300,5 MPa,1.038266229,0.858924988,400,1200
300,5 MPa,1.164177063,0.682320853,500,1500
300,5 MPa,1.28573641,0.883173828,600,1800
300,5 MPa,1.55832768,0.828771789,700,2100
300,5 MPa,0.782663075,0.274395838,800,2400
300,5 MPa,1.12176114,1.023727182,900,2700
300,5 MPa,1.54159824,1.193887301,1000,3000
300,5 MPa,0.938254446,0.734803487,1100,3300
300,5 MPa,1.464232458,0.995180818,1200,3600
300,5 MPa,1.6279136,1.168709372,1300,3900
300,5 MPa,1.0504003,0.503091704,1400,4200
300,5 MPa,1.83568276,1.428070269,1500,4500
400,5 MPa,1.2099573,0.980717275,0,5
400,5 MPa,1.243325922,0.835864567,100,5
400,5 MPa,0.906481608,0.718740963,200,5
400,5 MPa,1.041130272,0.518337193,300,5
